TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
118,94,Maigret Sets a Trap (2017 re-release),KL,$528,-79.3%,1,-,$528,"$5,965",-,2
119,104,30 Years of Garbage: The Garbage Pail Kids Story,Indic.,$350,-71.9%,1,-1,$350,"$25,697",-,12
120,87,Manolo: The Boy Who Made Shoes for Lizards,MBox,$342,-90.5%,1,-1,$342,"$57,108",-,7
121,95,Paradise (2017),FM,$336,-86.8%,2,-,$168,"$11,979",-,4
122,98,Rebel in the Rye,IFC,$326,-81.7%,2,-6,$163,"$376,734",-,8
123,-,Dawson City: Frozen Time,KL,$270,-,1,-,$270,"$129,756",-,57
124,92,The Departure,Mats.,$151,-94.3%,1,-5,$151,"$11,483",-,3
125,134,Super Dark Times,Orch.,$94,-47.5%,1,-,$94,"$33,109",-,5
126,124,Bugs,KL,$32,-92.6%,1,-2,$32,"$3,415",-,21
127,-,Hermia & Helena,KL,$28,-,1,-,$28,"$43,132",-,21
128,136,Time to Die,FM,$13,-87.3%,1,-,$13,"$11,335",-,7
